,drug_name,dates
0,Abilify,"October 2, 2019"
1,Abilify,"September 26, 2019"
2,Abilify,"September 24, 2019"
3,Abilify,"September 23, 2019"
4,Abilify,"September 16, 2019"
5,Abilify,"September 10, 2019"
6,Abilify,"September 8, 2019"
7,Abilify,"September 7, 2019"
8,Abilify,"September 4, 2019"
9,Abilify,"September 2, 2019"
10,Abilify,"September 1, 2019"
11,Abilify,"August 28, 2019"
12,Abilify,"August 18, 2019"
13,Abilify,"August 17, 2019"
14,Abilify,"August 12, 2019"
15,Abilify,"August 7, 2019"
16,Abilify,"August 5, 2019"
17,Abilify,"July 30, 2019"
18,Abilify,"July 30, 2019"
19,Abilify,"July 30, 2019"
20,Abilify,"July 28, 2019"
21,Abilify,"July 28, 2019"
22,Abilify,"July 28, 2019"
23,Abilify,"July 19, 2019"
24,Abilify,"July 15, 2019"
25,Abilify (Page 2),"July 13, 2019"
26,Abilify (Page 2),"July 13, 2019"
27,Abilify (Page 2),"July 12, 2019"
28,Abilify (Page 2),"July 11, 2019"
29,Abilify (Page 2),"July 9, 2019"
30,Abilify (Page 2),"July 5, 2019"
31,Abilify (Page 2),"July 5, 2019"
32,Abilify (Page 2),"July 1, 2019"
33,Abilify (Page 2),"June 28, 2019"
34,Abilify (Page 2),"June 27, 2019"
35,Abilify (Page 2),"June 25, 2019"
36,Abilify (Page 2),"June 25, 2019"
37,Abilify (Page 2),"June 24, 2019"
38,Abilify (Page 2),"June 23, 2019"
39,Abilify (Page 2),"June 22, 2019"
40,Abilify (Page 2),"June 19, 2019"
41,Abilify (Page 2),"June 18, 2019"
42,Abilify (Page 2),"June 17, 2019"
43,Abilify (Page 2),"June 12, 2019"
44,Abilify (Page 2),"June 10, 2019"
45,Abilify (Page 2),"June 9, 2019"
46,Abilify (Page 2),"June 5, 2019"
47,Abilify (Page 2),"June 3, 2019"
48,Abilify (Page 2),"May 23, 2019"
49,Abilify (Page 2),"May 21, 2019"
50,Abilify (Page 3),"May 15, 2019"
51,Abilify (Page 3),"May 14, 2019"
52,Abilify (Page 3),"May 12, 2019"
53,Abilify (Page 3),"May 12, 2019"
54,Abilify (Page 3),"May 9, 2019"
55,Abilify (Page 3),"May 6, 2019"
56,Abilify (Page 3),"April 22, 2019"
57,Abilify (Page 3),"April 22, 2019"
58,Abilify (Page 3),"April 19, 2019"
59,Abilify (Page 3),"April 15, 2019"
60,Abilify (Page 3),"April 9, 2019"
61,Abilify (Page 3),"April 8, 2019"
62,Abilify (Page 3),"March 25, 2019"
63,Abilify (Page 3),"March 24, 2019"
64,Abilify (Page 3),"March 23, 2019"
65,Abilify (Page 3),"March 22, 2019"
66,Abilify (Page 3),"March 20, 2019"
67,Abilify (Page 3),"March 11, 2019"
68,Abilify (Page 3),"March 10, 2019"
69,Abilify (Page 3),"March 9, 2019"
70,Abilify (Page 3),"March 1, 2019"
71,Abilify (Page 3),"February 26, 2019"
72,Abilify (Page 3),"February 5, 2019"
73,Abilify (Page 3),"January 22, 2019"
74,Abilify (Page 3),"January 17, 2019"
75,Abilify (Page 4),"January 16, 2019"
76,Abilify (Page 4),"January 13, 2019"
77,Abilify (Page 4),"January 2, 2019"
78,Abilify (Page 4),"December 19, 2018"
79,Abilify (Page 4),"December 11, 2018"
80,Abilify (Page 4),"December 10, 2018"
81,Abilify (Page 4),"December 7, 2018"
82,Abilify (Page 4),"November 30, 2018"
83,Abilify (Page 4),"November 26, 2018"
84,Abilify (Page 4),"November 13, 2018"
85,Abilify (Page 4),"November 8, 2018"
86,Abilify (Page 4),"November 3, 2018"
87,Abilify (Page 4),"October 28, 2018"
88,Abilify (Page 4),"October 25, 2018"
89,Abilify (Page 4),"October 24, 2018"
90,Abilify (Page 4),"October 24, 2018"
91,Abilify (Page 4),"October 21, 2018"
92,Abilify (Page 4),"October 3, 2018"
93,Abilify (Page 4),"October 3, 2018"
94,Abilify (Page 4),"October 3, 2018"
95,Abilify (Page 4),"October 2, 2018"
96,Abilify (Page 4),"September 29, 2018"
97,Abilify (Page 4),"September 29, 2018"
98,Abilify (Page 4),"September 23, 2018"
99,Abilify (Page 4),"September 16, 2018"
100,Abilify (Page 5),"September 10, 2018"
101,Abilify (Page 5),"September 10, 2018"
102,Abilify (Page 5),"September 9, 2018"
103,Abilify (Page 5),"August 29, 2018"
104,Abilify (Page 5),"August 13, 2018"
105,Abilify (Page 5),"August 4, 2018"
106,Abilify (Page 5),"August 4, 2018"
107,Abilify (Page 5),"July 28, 2018"
108,Abilify (Page 5),"July 24, 2018"
109,Abilify (Page 5),"July 24, 2018"
110,Abilify (Page 5),"July 13, 2018"
111,Abilify (Page 5),"July 13, 2018"
112,Abilify (Page 5),"July 11, 2018"
113,Abilify (Page 5),"July 9, 2018"
114,Abilify (Page 5),"July 1, 2018"
115,Abilify (Page 5),"June 26, 2018"
116,Abilify (Page 5),"June 24, 2018"
117,Abilify (Page 5),"June 12, 2018"
118,Abilify (Page 5),"June 10, 2018"
119,Abilify (Page 5),"June 6, 2018"
120,Abilify (Page 5),"June 5, 2018"
121,Abilify (Page 5),"June 5, 2018"
122,Abilify (Page 5),"May 24, 2018"
123,Abilify (Page 5),"May 18, 2018"
124,Abilify (Page 5),"May 17, 2018"
125,Abilify (Page 6),"May 13, 2018"
126,Abilify (Page 6),"April 28, 2018"
127,Abilify (Page 6),"April 22, 2018"
128,Abilify (Page 6),"April 18, 2018"
129,Abilify (Page 6),"April 14, 2018"
130,Abilify (Page 6),"March 27, 2018"
131,Abilify (Page 6),"March 3, 2018"
132,Abilify (Page 6),"February 25, 2018"
133,Abilify (Page 6),"February 15, 2018"
134,Abilify (Page 6),"February 9, 2018"
135,Abilify (Page 6),"February 5, 2018"
136,Abilify (Page 6),"February 3, 2018"
137,Abilify (Page 6),"February 1, 2018"
138,Abilify (Page 6),"January 31, 2018"
139,Abilify (Page 6),"January 31, 2018"
140,Abilify (Page 6),"January 31, 2018"
141,Abilify (Page 6),"January 31, 2018"
142,Abilify (Page 6),"January 27, 2018"
143,Abilify (Page 6),"January 18, 2018"
144,Abilify (Page 6),"January 15, 2018"
145,Abilify (Page 6),"January 11, 2018"
146,Abilify (Page 6),"December 30, 2017"
147,Abilify (Page 6),"December 24, 2017"
148,Abilify (Page 6),"December 18, 2017"
149,Abilify (Page 6),"December 6, 2017"
150,Abilify (Page 7),"December 2, 2017"
151,Abilify (Page 7),"November 27, 2017"
152,Abilify (Page 7),"November 22, 2017"
153,Abilify (Page 7),"November 22, 2017"
154,Abilify (Page 7),"November 16, 2017"
155,Abilify (Page 7),"November 9, 2017"
156,Abilify (Page 7),"October 25, 2017"
157,Abilify (Page 7),"October 23, 2017"
158,Abilify (Page 7),"October 20, 2017"
159,Abilify (Page 7),"September 30, 2017"
160,Abilify (Page 7),"September 30, 2017"
161,Abilify (Page 7),"September 26, 2017"
162,Abilify (Page 7),"September 19, 2017"
163,Abilify (Page 7),"September 11, 2017"
164,Abilify (Page 7),"September 3, 2017"
165,Abilify (Page 7),"September 2, 2017"
166,Abilify (Page 7),"August 30, 2017"
167,Abilify (Page 7),"August 30, 2017"
168,Abilify (Page 7),"August 28, 2017"
169,Abilify (Page 7),"August 21, 2017"
170,Abilify (Page 7),"August 17, 2017"
171,Abilify (Page 7),"August 4, 2017"
172,Abilify (Page 7),"August 2, 2017"
173,Abilify (Page 7),"August 1, 2017"
174,Abilify (Page 7),"July 29, 2017"
175,Abilify (Page 8),"July 27, 2017"
176,Abilify (Page 8),"July 11, 2017"
177,Abilify (Page 8),"June 26, 2017"
178,Abilify (Page 8),"June 26, 2017"
179,Abilify (Page 8),"June 23, 2017"
180,Abilify (Page 8),"June 20, 2017"
181,Abilify (Page 8),"June 19, 2017"
182,Abilify (Page 8),"June 18, 2017"
183,Abilify (Page 8),"June 15, 2017"
184,Abilify (Page 8),"June 7, 2017"
185,Abilify (Page 8),"May 31, 2017"
186,Abilify (Page 8),"May 29, 2017"
187,Abilify (Page 8),"May 28, 2017"
188,Abilify (Page 8),"May 24, 2017"
189,Abilify (Page 8),"May 22, 2017"
190,Abilify (Page 8),"May 15, 2017"
191,Abilify (Page 8),"May 12, 2017"
192,Abilify (Page 8),"May 12, 2017"
193,Abilify (Page 8),"May 12, 2017"
194,Abilify (Page 8),"May 3, 2017"
195,Abilify (Page 8),"May 1, 2017"
196,Abilify (Page 8),"April 28, 2017"
197,Abilify (Page 8),"April 25, 2017"
